name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Marseille,2022-10-01T00:00:00,13.9,13.9,8,67.21,0,0,,0,0,30.2,19.4,324,1015.2,0,41.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T01:00:00,13.8,13.8,8.1,68.37,0,0,,0,0,33.4,19.6,317,1015.6,0,41.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T02:00:00,13.6,13.6,7.8,68.07,0,0,,0,0,26.6,16.1,314,1016.3,0.1,41.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T03:00:00,13.5,13.5,7.8,68.48,0,0,,0,0,27.3,12.2,303,1017.2,0.1,41.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T04:00:00,12.8,12.8,7.8,71.23,0,0,,0,0,25.8,18.1,318,1017.5,0.1,41.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T05:00:00,12.5,12.5,7.1,69.39,0,0,,0,0,22.3,11,336,1018.1,0.1,41.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T06:00:00,12.3,12.3,7.6,72.97,0,0,,0,0,21.7,9.9,314,1019,2.6,41.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T07:00:00,10.8,10.8,6.8,75.93,0,0,,0,0,12.8,4.1,339,1019.2,0,41,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T08:00:00,11.2,11.2,7.5,77.76,0,0,,0,0,20.4,7.9,3,1020,92.5,33.7,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T09:00:00,12.9,12.9,8.5,74.57,0,0,,0,0,11.1,5.5,323,1020.5,100,39.4,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T10:00:00,14.1,14.1,7.8,65.49,0,0,,0,0,16,9.4,289,1021.4,100,32.8,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T11:00:00,15.2,15.2,8.6,64.82,0,0,,0,0,15.7,8.7,295,1022.1,100,33.3,316,1.1,3,,Overcast,cloudy,"E8668,07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T12:00:00,16.2,16.2,8.6,60.78,0,0,,0,0,17,11,301,1022.4,100,32.5,197,0.7,2,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T13:00:00,17.1,17.1,8.6,57.29,0,0,,0,0,21.6,14.6,293,1022.9,100,24.2,376,1.4,4,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T14:00:00,18.4,18.4,9,54.22,0,0,,0,0,27,16.2,276,1022.4,98.3,33.1,594,2.1,6,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T15:00:00,19.2,19.2,9.9,54.64,0,0,,0,0,28.5,11.6,282,1022.3,97.9,25,664,2.4,7,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T16:00:00,20.2,20.2,11.8,58.34,0,0,,0,0,29.4,20,254,1022.1,91.7,29.3,522,1.9,5,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T17:00:00,21.1,21.1,12,56.01,0,0,,0,0,30.8,19,289,1022,82.7,22.3,373,1.3,4,,Partially cloudy,partly-cloudy-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T18:00:00,21,21,13.3,61.34,0,0,,0,0,32.7,19.2,252,1022.1,100,32.1,192,0.7,2,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T19:00:00,19.4,19.4,13.4,68.53,0,0,,0,0,33.3,20.9,250,1022.3,93.1,28.9,11,0,0,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T20:00:00,18.7,18.7,14.3,75.91,0,0,,0,0,28,17.9,255,1023.1,90.2,41.5,5,0,0,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T21:00:00,17.7,17.7,15,84.34,0,0,,0,0,23.7,8.3,326,1023.3,24.4,34.3,,,,,Partially cloudy,partly-cloudy-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T22:00:00,17.6,17.6,15.2,86.26,0,0,,0,0,18.6,6.6,300,1024.1,0,22.1,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-01T23:00:00,16.7,16.7,13.8,83.18,0,0,,0,0,17,7.2,257,1024.3,0,33.6,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T00:00:00,16.7,16.7,13.9,83.63,0,0,,0,0,14.1,4.3,205,1024.3,0,41,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T01:00:00,16.7,16.7,13.7,82.88,0,0,,0,0,12.5,6.6,17,1024.4,0,35,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T02:00:00,16.6,16.6,13.8,83.5,0,0,,0,0,16.5,10.4,19,1024.2,0,40.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T03:00:00,15.8,15.8,13.7,87.29,0,0,,0,0,16,5.6,316,1024.2,0,40.6,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T04:00:00,14.8,14.8,12.7,87.36,0,0,,0,0,11.6,1.6,337,1023.5,0,39.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T05:00:00,13.8,13.8,12.7,93.26,0,0,,0,0,6.9,2.2,270,1023.5,0,35,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T06:00:00,13.1,13.1,11.9,92.83,0,0,,0,0,11.5,6.8,174,1023.4,12.9,36.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T07:00:00,14.6,14.6,14,96.34,0,0,,0,0,12.4,7.1,286,1024,93.2,37.8,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T08:00:00,14.6,14.6,13.6,94.21,0,0,,0,0,15.9,10.2,3,1024.4,100,38,5,0,0,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T09:00:00,17.6,17.6,14.8,83.48,0,0,,0,0,16.3,5.8,4,1025,32.8,33.6,17,0.1,0,,Partially cloudy,partly-cloudy-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T10:00:00,19.1,19.1,14.7,75.72,0,0,,0,0,12.2,5,357,1025.1,100,27.5,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T11:00:00,20.3,20.3,14.9,71.26,0,0,,0,0,13.4,5.4,271,1025,100,37.6,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T12:00:00,21.5,21.5,15.6,69.25,0,0,,0,0,17.1,6,314,1024.9,100,28.9,374,1.3,4,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T13:00:00,24.2,24.2,15.5,58.07,0,0,,0,0,18.4,10.5,266,1024,100,27,388,1.4,4,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T14:00:00,25.2,25.2,14.7,52.44,0,0,,0,0,30.3,12.8,271,1023.1,100,24.2,564,2,6,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T15:00:00,25.3,25.3,14.6,51.38,0,0,,0,0,30,20.5,289,1022.3,100,20.7,759,2.7,8,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T16:00:00,25.2,25.2,14.8,52.44,0,0,,0,0,30.7,21.7,286,1021.4,100,20,478,1.7,5,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T17:00:00,25.1,25.1,15.4,54.97,0,0,,0,0,28.2,18.9,277,1021,100,20.8,237,0.9,2,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T18:00:00,24.5,24.5,16.1,59.72,0,0,,0,0,28.4,20.1,263,1020.3,100,20.7,167,0.6,2,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T19:00:00,22.6,22.6,15.8,65.66,0,0,,0,0,28,11.1,278,1020.3,100,35.5,26,0.1,0,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T20:00:00,21.3,21.3,15.6,69.84,0,0,,0,0,23.3,13.5,256,1020.5,100,39.6,7,0,0,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T21:00:00,20.6,20.6,15.6,73.02,0,0,,0,0,16.6,7.5,275,1021,100,25.6,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T22:00:00,19.1,19.1,15.5,79.84,0,0,,0,0,20.8,8.4,282,1021.1,100,41.5,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-02T23:00:00,19,19,14.5,75.27,0,0,,0,0,19.3,10.1,274,1021.1,100,39.6,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T00:00:00,18.1,18.1,14.4,78.74,0,0,,0,0,18.6,6.8,257,1021,100,41.5,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T01:00:00,17.9,17.9,12.8,72.14,0,0,,0,0,20,7.7,294,1020.5,100,37.6,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T02:00:00,19,19,12.5,66.15,0,0,,0,0,29.7,18.6,334,1020.3,100,41.5,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T03:00:00,19.1,19.1,12.6,65.86,0,0,,0,0,32.1,18.2,342,1020.2,100,41.5,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T04:00:00,19.6,19.6,12.5,63.34,0,0,,0,0,45.3,27.6,323,1019.5,100,39.1,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T05:00:00,19,19,12.5,65.81,0,0,,0,0,51,31.2,324,1019.3,100,41.5,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T06:00:00,18.3,18.3,12,66.78,0,0,,0,0,43.5,20.3,330,1019.3,25,41.5,,,,,Partially cloudy,partly-cloudy-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T07:00:00,17.8,17.8,12.8,72.61,0,0,,0,0,38.1,21.4,326,1019.1,100,41.5,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T08:00:00,17.8,17.8,12.8,72.86,0,0,,0,0,51.2,33.7,320,1018.7,100,30.2,26,0.1,0,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T09:00:00,18.1,18.1,13.6,75.26,0,0,,0,0,50,25.9,332,1019.2,100,23.4,202,0.7,2,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T10:00:00,18.9,18.9,13.2,69.53,0,0,,0,0,40.8,21.6,338,1019.5,100,28.8,202,0.7,2,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T11:00:00,19.8,19.8,13.8,68.56,0,0,,0,0,33.1,15.8,330,1019.6,100,28.4,239,0.9,2,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T12:00:00,20.6,20.6,13.9,65.16,0,0,,0,0,27.9,16.8,327,1019.5,100,28.5,323,1.2,3,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T13:00:00,21.2,21.2,13.8,62.71,0,0,,0,0,33.1,14.3,331,1019.3,91.1,23.9,350,1.3,4,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T14:00:00,22.7,22.7,13.2,55.18,0,0,,0,0,24,11,313,1019.1,100,31.4,253,0.9,3,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T15:00:00,22.4,22.4,14,59.08,0,0,,0,0,33,11.3,231,1018.3,100,19.6,288,1,3,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T16:00:00,24.2,24.2,13.8,52.15,0,0,,0,0,31.4,13.2,267,1018.3,100,28.7,526,1.9,5,,Overcast,cloudy,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T17:00:00,24.8,24.8,13.9,50.94,0,0,,0,0,21.6,12.6,258,1018.1,0,24.4,364,1.3,4,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T18:00:00,24.6,24.6,13.1,48.97,0,0,,0,0,21.8,13.2,267,1018.1,0,25.8,176,0.6,2,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T19:00:00,22.8,22.8,13.6,55.88,0,0,,0,0,30.1,20.7,320,1018.1,0,25.5,14,0.1,0,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T20:00:00,20.9,20.9,13.5,62.71,0,0,,0,0,25.7,14.6,324,1018.3,0,41.3,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T21:00:00,18.8,18.8,13.1,69.5,0,0,,0,0,21.2,5.1,21,1018.5,0,39.2,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T22:00:00,17.3,17.3,13.6,79.24,0,0,,0,0,13.9,4.5,77,1019,0,39.2,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-03T23:00:00,15.7,15.7,12.6,81.48,0,0,,0,0,15.9,8.9,101,1019.3,0,41.3,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T00:00:00,14.9,14.9,12,82.64,0,0,,0,0,14.8,5.4,105,1019.2,0,41.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T01:00:00,13.8,13.8,11.8,87.59,0,0,,0,0,9,2.2,58,1019.2,0,40.6,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T02:00:00,13.9,13.9,11.9,88.07,0,0,,0,0,8.6,4.4,254,1019.1,0,40.4,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T03:00:00,12.7,12.7,10.9,88.72,0,0,,0,0,10.2,5.7,119,1019.3,0,36.8,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T04:00:00,12.2,12.2,10.8,91.56,0,0,,0,0,10.4,5.7,138,1019.2,0,33.6,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T05:00:00,11.8,11.8,10.7,92.58,0,0,,0,0,10.6,8.5,112,1019.2,0,31.1,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T06:00:00,11.7,11.7,10.1,89.99,0,0,,0,0,10.7,3.9,124,1019.3,0,30.2,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T07:00:00,11.8,11.8,10.5,92.05,0.123,100,rain,0,0,9.4,3.9,116,1019.6,0,24.2,,,,,Rain,rain,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T08:00:00,12.3,12.3,10.5,89.22,0,0,,0,0,10.6,8.1,117,1020.2,0,22.1,9,0,0,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T09:00:00,15.7,15.7,12.6,82.11,0,0,,0,0,10.6,3.8,129,1020.3,0,26.8,167,0.6,2,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T10:00:00,18.3,18.3,13,71.4,0,0,,0,0,9.5,4.8,311,1020.6,0,24.8,364,1.3,4,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T11:00:00,19.9,19.9,13.8,67.78,0,0,,0,0,9.9,5.3,278,1021.2,0,19.7,526,1.9,5,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T12:00:00,22.1,22.1,12.8,55.75,0,0,,0,0,14.2,6.1,322,1021.3,0,20.4,633,2.3,6,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T13:00:00,23.2,23.2,15.1,60.32,0,0,,0,0,14.2,6.3,285,1021.3,0,19.6,693,2.5,7,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T14:00:00,24,24,15.5,58.93,0,0,,0,0,16.4,11,236,1021.3,0,20.3,682,2.5,7,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T15:00:00,23.8,23.8,16.5,63.61,0,0,,0,0,28.3,14.8,202,1021.2,0,19.6,621,2.2,6,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T16:00:00,23.2,23.2,16.5,66.05,0,0,,0,0,25.5,13.2,201,1021.1,0,18.5,501,1.8,5,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T17:00:00,23.1,23.1,15.8,63.53,0,0,,0,0,22.2,9.8,199,1021.2,0,18.2,341,1.2,3,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T18:00:00,23,23,14.8,60,0,0,,0,0,16,8.5,209,1021.2,0,23.7,149,0.5,1,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T19:00:00,20.8,20.8,15.2,70.14,0,0,,0,0,22.7,10.9,178,1021.5,0,29.7,111,0.4,1,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T20:00:00,18.7,18.7,15.2,80.18,0,0,,0,0,17.9,10.3,199,1022.2,0,30.1,1,0,0,,Clear,clear-night,"E8668,07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T21:00:00,17.7,17.7,15.5,87.13,0.012,100,rain,0,0,10.2,4.8,170,1022.4,0,21.8,,,,,Rain,rain,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T22:00:00,17.3,17.3,15.7,90.23,0,0,,0,0,9.5,6.5,355,1023.2,0,15.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-04T23:00:00,15.7,15.7,13.8,88.44,0,0,,0,0,11.6,5.3,14,1023.5,0.3,18.2,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T00:00:00,15.4,15.4,13.7,89.74,0,0,,0,0,7.4,4.9,112,1024,0.5,19.8,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T01:00:00,14.4,14.4,13.4,93.29,0,0,,0,0,8.2,5.3,123,1024.2,0.5,16.8,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T02:00:00,13.9,13.9,13,94.11,0,0,,0,0,9.4,5.3,56,1024.4,0.6,12.5,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T03:00:00,13.6,13.6,12.6,93.73,0,0,,0,0,11.9,7.9,141,1024.5,0.5,16.6,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T04:00:00,13.8,13.8,12.8,94.26,0.042,100,rain,0,0,12.1,8.1,105,1024.4,85.5,15,,,,,"Rain, Partially cloudy",rain,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T05:00:00,14.7,14.7,14.4,97.66,0,0,,0,0,9.7,7,98,1024.4,90.1,10.1,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T06:00:00,15.6,15.6,15.1,96.8,0,0,,0,0,12.1,4.3,108,1024.5,99,11.6,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T07:00:00,15.7,15.7,14.8,94.37,0,0,,0,0,14,9.3,54,1024.6,100,10.8,,,,,Overcast,cloudy,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T08:00:00,15,15,14,93.66,0,0,,0,0,15,5.5,79,1025.2,51.8,11.8,,,,,Partially cloudy,partly-cloudy-day,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T09:00:00,16.8,16.8,14.9,88.41,0,0,,0,0,10.9,5.7,63,1025.5,40.5,12.9,,,,,Partially cloudy,partly-cloudy-day,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T10:00:00,19,19,15.7,81.14,0,0,,0,0,18.8,7.5,44,1026.1,16.7,15.9,,,,,Clear,clear-day,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T11:00:00,21.7,21.7,15.9,69.8,0,0,,0,0,20.3,10.9,79,1026.3,4.5,19.5,,,,,Clear,clear-day,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T12:00:00,23,23,15.2,61.25,0,0,,0,0,21.2,7.8,61,1026.1,12.9,20.2,559,2,6,,Clear,clear-day,"E0050,07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T13:00:00,24.5,24.5,15.9,58.57,0,0,,0,0,17.1,11,267,1026,36.8,21.3,708,2.5,7,,Partially cloudy,partly-cloudy-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T14:00:00,24.1,24.1,15.8,59.58,0,0,,0,0,26.1,13.1,245,1025.5,28.7,18.8,768,2.8,8,,Partially cloudy,partly-cloudy-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T15:00:00,24.7,24.7,15.6,57.23,0,0,,0,0,21,13,256,1025.1,7.1,18.4,724,2.6,7,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T16:00:00,24.7,24.7,15.2,55.49,0,0,,0,0,28.7,19.2,215,1025,5,21.3,573,2.1,6,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T17:00:00,24,24,15.7,59.79,0,0,,0,0,26,16,200,1025,6.6,17.7,380,1.4,4,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T18:00:00,22.8,22.8,16,65.57,0,0,,0,0,26.1,14.6,207,1025.1,15.6,25.8,151,0.5,2,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T19:00:00,20.2,20.2,17,81.7,0,0,,0,0,25.6,15.3,181,1025.4,15.4,24.7,12,0,0,,Clear,clear-day,"07563099999,07648099999,E6174,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T20:00:00,18.9,18.9,16.9,87.9,0,0,,0,0,22.6,5.6,175,1026.1,8.5,19.8,2,0,0,,Clear,clear-night,"E8668,07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T21:00:00,18.5,18.5,16.7,89.51,0,0,,0,0,10.1,5.2,244,1026.5,12.4,12.2,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T22:00:00,17.7,17.7,16.7,93.74,0,0,,0,0,9.9,6.5,319,1027.3,86.3,10.4,,,,,Partially cloudy,partly-cloudy-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-05T23:00:00,18.2,18.2,17.1,93.22,0,0,,0,0,9.9,4.1,290,1028.1,89,11.8,,,,,Partially cloudy,partly-cloudy-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-06T00:00:00,17.4,17.4,16.4,93.63,0.038,100,rain,0,0,7.6,4,105,1028.1,89,8.2,,,,,"Rain, Partially cloudy",rain,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-06T01:00:00,17.1,17.1,16,93.15,0,0,,0,0,18.2,6.6,34,1027.6,88,8.5,,,,,Partially cloudy,partly-cloudy-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
Marseille,2022-10-06T02:00:00,15,15,14.5,96.86,0,0,,0,0,10,7.8,117,1027.6,0.7,6.6,,,,,Clear,clear-night,"07563099999,07648099999,07647099999,LFML,07650099999,07667099999"
